VP	Nonsoc_NFE	Nonsoc_Corr
VP1	1,6147	2,0082
VP2	0,19075	-0,52583
VP3	3,97	2,9704
VP4	2,1295	-3,4415
VP5	0,99794	-3,1574
VP6	1,598	-0,53414
VP7	3,2733	-2,4425
VP8	2,7771	3,3342
VP9	0,31346	-4,3473
VP10	3,2799	0,2211
VP11	0,66842	-3,606
VP12	-0,16989	1,204
VP13	-6,1361	-3,6333
VP14	-1,2778	-1,6486
VP15	2,8755	-0,047267
VP16	-4,3418	-3,2016
VP17	5,0679	-1,3049
VP18	-1,1399	-2,2118
VP19	2,3045	-1,0642
VP20	-0,88473	-0,66137
VP21	3,3028	-5,7877
VP22	2,1704	-3,6129
VP23	-0,27801	1,9906
