VP	Soc_NFE	Soc_Corr
VP1	-2,4544	0,99601
VP2	1,6723	-0,63601
VP3	-4,6078	0,37897
VP4	0,86834	0,7959
VP5	0,69628	1,6946
VP6	-0,30514	0,7437
VP7	1,4688	0,52556
VP8	-0,27797	1,3796
VP9	1,0367	0,66785
VP10	-3,4992	1,5581
VP11	0,35999	-0,26596
VP12	-1,5065	1,2863
VP13	-0,45069	2,2407
VP14	-1,7408	1,0183
VP15	-3,0147	-1,2874
VP16	1,7185	0,82479
VP17	1,2398	-0,36171
VP18	-1,1407	0,090806
VP19	-2,9862	-1,4558
VP20	-3,0845	-0,43406
VP21	-1,996	0,44763
VP22	0,16624	1,7669
